relative_path,source_class,channel,location,statement_type,value,unit,px_dimension,inferred_nm_per_px,scale_status,evidence_strength,snippet
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.04,s,,,,derived_project_note,"g was read from `camera_timing` to normalize apparent transport proxies to seconds; the observed frame spacing is about 10.04 s/frame for both selected event segments. Interpretation: this is the first front-specific, time-normalized ROI selectio"
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.0,s,,,,derived_project_note,"hase growth rates correspond to 3.51e-6/s for events vs 1.60e-6/s for expanded controls; sampled ROI frames are roughly 10 s apart. - Event ROIs show larger first-last absolute change: 0.01213 vs 0.00828, p=0.00925, and lower first-last correla"
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,2.0,ms,,,,derived_project_note,ons a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - The project synthesis now carries the calibration metadata audit into `nmc_ai_physics_synthesis_summary.json` and th
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.04,s,,,,derived_project_note,"g was read from `camera_timing` to normalize apparent transport proxies to seconds; the observed frame spacing is about 10.04 s/frame for both selected event segments. Interpretation: this is the first front-specific, time-normalized ROI selectio"
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.0,s,,,,derived_project_note,"hase growth rates correspond to 3.51e-6/s for events vs 1.60e-6/s for expanded controls; sampled ROI frames are roughly 10 s apart. - Event ROIs show larger first-last absolute change: 0.01213 vs 0.00828, p=0.00925, and lower first-last correla"
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,2.0,ms,,,,derived_project_note,ons a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - The project synthesis now carries the calibration metadata audit into `nmc_ai_physics_synthesis_summary.json` and th
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,degradation-mode ranking. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.0
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,ter described as apparent optical-front contraction/loss than diffusion expansion. These values should not be treated as final diffusion coefficients until the 96 nm/px calibration is confirmed from microscope metadata and the front masks/particle identities are manually reviewed. ## 2026-05-21 Expanded Multi-Cycle ROI Cohort
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,egment/cycle timing rather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposu
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,"umptions of 0.08, 0.096, and 0.12 um/px; no HDF5 pixel-size attribute is available, so values remain apparent optical-front proxies. - At the q70 threshold and 96 nm/px, median apparent D is 4.32e-08 um2/s, median absolute apparent D is 2.60e-06 um2/s, and 51.4% of ROI rows are positive. - q70 future8 separation is non-signifi"
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_width_div_movie_width,180.0,um / px,1920.0,93.75,near_96nm_px,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_height_div_movie_height,120.0,um / px,1200.0,100.0,near_96nm_px,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_width_div_movie_width,180.0,um / px,1920.0,93.75,near_96nm_px,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_height_div_movie_height,120.0,um / px,1200.0,100.0,near_96nm_px,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,degradation-mode ranking. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.0
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,ter described as apparent optical-front contraction/loss than diffusion expansion. These values should not be treated as final diffusion coefficients until the 96 nm/px calibration is confirmed from microscope metadata and the front masks/particle identities are manually reviewed. ## 2026-05-21 Expanded Multi-Cycle ROI Cohort
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,egment/cycle timing rather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposu
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,derived_project_note,"umptions of 0.08, 0.096, and 0.12 um/px; no HDF5 pixel-size attribute is available, so values remain apparent optical-front proxies. - At the q70 threshold and 96 nm/px, median apparent D is 4.32e-08 um2/s, median absolute apparent D is 2.60e-06 um2/s, and 51.4% of ROI rows are positive. - q70 future8 separation is non-signifi"
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_width_div_movie_width,180.0,um / px,1920.0,93.75,near_96nm_px,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_height_div_movie_height,120.0,um / px,1200.0,100.0,near_96nm_px,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_width_div_movie_width,180.0,um / px,1920.0,93.75,near_96nm_px,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_height_div_movie_height,120.0,um / px,1200.0,100.0,near_96nm_px,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/claude_agentic_ai_research_workflow_isambard.md,text_note,file_text_sample,first_256kb,time_or_exposure_statement,100.0,s,,,,project_file_text,"│ │ Your Python analysis scripts │ │ (h5py, Dask, SAM2, xarray, etc.) │ │ Run on H100s │ └─────────────────────────────────────────┘ ``` **Why this works:** - Agent logic stays on"
alek_jiho_nmc_deg/Battery_Degradation_Project/Charge Photometry Meeting 1902.pptx,presentation,slide_xml,ppt/slides/slide2.xml,fov_pair,180.0,um x um,,,,slide_text,Motivation Methods: Wide field-of-view (180x120um) optical microscope Optical coin cell (under long cycling especially) Automated statistical analysis of electrode scale (de)lithiation behaviour Material and E
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Paper Outline.pptx,presentation,slide_xml,ppt/slides/slide3.xml,fov_pair,180.0,um x um,,,,slide_text,"e). MiniSCAT set-up diagram. We present an improved microscope design, iterating on the instrument used by Merryweather et al., that offers 96nm pixel size and 180x120um FoV , compared to XXnm and YYxZZum . Example image of an NMC-811 electrode with 60%(?) active material mass loading acquired using the new microscope (b). Two"
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Project.pptx,presentation,slide_xml,ppt/slides/slide3.xml,time_or_exposure_statement,2.0,ms,,,,slide_text,"ield of view, including 4 drilled holes on left half, and undrilled holes on right half. Imaging camera exposure time = 2 ms (for all experiments) Autofocus: On for all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 m"
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Project.pptx,presentation,slide_xml,ppt/slides/slide3.xml,time_or_exposure_statement,6.0,ms,,,,slide_text,"ms (for all experiments) Autofocus: On for all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 ms. Protocol (for all experiments): OCV 600s (10 min) Charge to 4.2 V V-hold at 4.2 V for 2 hr or until current half of se"
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Project.pptx,presentation,slide_xml,ppt/slides/slide3.xml,time_or_exposure_statement,600.0,s,,,,slide_text,"r all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 ms. Protocol (for all experiments): OCV 600s (10 min) Charge to 4.2 V V-hold at 4.2 V for 2 hr or until current half of set value Discharge to 3 V V-hold at 3 V for"
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Project.pptx,presentation,slide_xml,ppt/slides/slide3.xml,time_or_exposure_statement,3600.0,s,,,,slide_text,V for 2 hr or until current half of set value Discharge to 3 V V-hold at 3 V for 4 hours or until C/100 (0.0211 mA) OCV 3600s (60 min) Expt 00 &amp; Expt 01 - C/10 formation cycles 30 seconds per frame Expt 02 &amp; Expt 03 - C/10 cycles 30 seco
alek_jiho_nmc_deg/Battery_Degradation_Project/Charge Photometry Meeting 1902.pptx,presentation,slide_xml,ppt/slides/slide2.xml,fov_width_div_movie_width,180.0,um / px,1920.0,93.75,near_96nm_px,slide_text,Motivation Methods: Wide field-of-view (180x120um) optical microscope Optical coin cell (under long cycling especially) Automated statistical analysis of electrode scale (de)lithiation behaviour Material and E
alek_jiho_nmc_deg/Battery_Degradation_Project/Charge Photometry Meeting 1902.pptx,presentation,slide_xml,ppt/slides/slide2.xml,fov_height_div_movie_height,120.0,um / px,1200.0,100.0,near_96nm_px,slide_text,Motivation Methods: Wide field-of-view (180x120um) optical microscope Optical coin cell (under long cycling especially) Automated statistical analysis of electrode scale (de)lithiation behaviour Material and E
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Paper Outline.pptx,presentation,slide_xml,ppt/slides/slide3.xml,explicit_nm_per_pixel,96.0,nm/px,,96.0,near_96nm_px,slide_text,"ctrode (Li-metal here). MiniSCAT set-up diagram. We present an improved microscope design, iterating on the instrument used by Merryweather et al., that offers 96nm pixel size and 180x120um FoV , compared to XXnm and YYxZZum . Example image of an NMC-811 electrode with 60%(?) active material mass loading acquired using the new m"
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Paper Outline.pptx,presentation,slide_xml,ppt/slides/slide3.xml,fov_width_div_movie_width,180.0,um / px,1920.0,93.75,near_96nm_px,slide_text,"e). MiniSCAT set-up diagram. We present an improved microscope design, iterating on the instrument used by Merryweather et al., that offers 96nm pixel size and 180x120um FoV , compared to XXnm and YYxZZum . Example image of an NMC-811 electrode with 60%(?) active material mass loading acquired using the new microscope (b). Two"
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Paper Outline.pptx,presentation,slide_xml,ppt/slides/slide3.xml,fov_height_div_movie_height,120.0,um / px,1200.0,100.0,near_96nm_px,slide_text,"e). MiniSCAT set-up diagram. We present an improved microscope design, iterating on the instrument used by Merryweather et al., that offers 96nm pixel size and 180x120um FoV , compared to XXnm and YYxZZum . Example image of an NMC-811 electrode with 60%(?) active material mass loading acquired using the new microscope (b). Two"
