roi_id,cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames_x,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,npz_path,preview_png,roi_norm_mean_delta,roi_norm_mean_slope,roi_norm_mean_slope_r2,high_fraction_delta,high_fraction_slope,low_fraction_delta,low_fraction_slope,high_radius2_delta_px2,high_radius2_slope_px2_per_frame,high_radius2_slope_um2_per_frame,centroid_path_px,first_last_corr,cumulative_abs_norm_change,temporal_diff_energy,cohort_role,event_reference_cycle,event_particles,n_event_particles,mean_drop_frac,global_frame_percentile,evidence_score,degradation_mode_hypothesis,front_quality_score,apparent_diffusion_proxy_ds_px2_per_frame,is_synchronized_reference,latent_path_length,latent_mean_step,latent_net_displacement,latent_component0_delta,latent_component1_delta,latent_component0_first,latent_component0_last,low_rank_dmd_mse,persistence_mse,velocity_mse,dmd_minus_persistence_mse,n_frames_y,n_frames_percentile,echem_points,duration_s,V_min,V_max,V_range,V_mean,I_mean_mA,I_abs_mean_mA,I_pos_fraction,I_neg_fraction,V_mean_delta,I_mean_delta,V_range_delta,cycles_from_block_start,cycles_to_block_end,block_fraction_elapsed,block_mode,protocol_block_segment,near_block_boundary_10cycles,physics_no_qc_rf_event_probability,predicted_event_roi,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,diffusion_proxy_abs_median_um2_per_s,q70_phase_slope_bootstrap_p50,q70_radius2_slope_bootstrap_p50_px2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score,timing_elapsed_s
cycle58_rank6_obj29,58.0,7_c2_x10_290623,3,6,29,4.995734664947042,control_multicycle_roi_candidate,1236.076923076923,846.9230769230769,1140,751,1332,943,192,96,64,2761,3681,8088.73681640625,8089.982421875,1.24560546875,0.1193166598677635,0.1194778978824615,0.000161238014698,0.2236067977500298,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank6_obj29.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank6_obj29.png,0.000161238014698,7.880005777400779e-05,0.0421649938687431,0.0008987417615338,0.0003044329971007,-0.0010485320551228,-0.0002347743379049,-3.930498662891296,0.0415448244868187,0.0003828771024705,14.941565014320046,0.9707391341919096,0.0224304478615522,0.000304836052237,control,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.6155277307729818,0.0003492805402585,0,17.378150939941406,0.1829279065132141,0.960981011390686,0.0238394737243652,0.2176094949245453,-2.253015518188477,-2.229176044464112,0.0026638595700205,0.0003359078732501,0.0009004953153635,0.0023279516967704,919.0,0.3539325842696629,71886.0,9246.054083347328,2.991089,4.201038,1.2099489999999995,3.828237694919734,0.0163604508805609,0.500889,0.5163314136271319,0.4836685863728681,-0.0018390119177569,-0.0043871655077833,-0.0177590000000003,0.0,0.0,,galvanostatic_6,24,1,0.4590769915637779,0,1.9836635442909093e-06,5.655940475679968e-07,1.0,0.0,1.9836635442909093e-06,1.4017061977103122e-05,0.0009407987921738,0.5714285714285714,0.4285714285714285,3.22953107952456e-08,2.1676004171685104e-06,3.22953107952456e-08,3.22953107952456e-08,1.8334734415386308e-06,3.204604745569074e-05,0.6057692307692308,-0.5961538461538463,9250.204203328
cycle58_rank4_obj2,58.0,7_c2_x10_290623,3,4,2,4.914744204591446,control_multicycle_roi_candidate,568.421052631579,176.8421052631579,472,81,664,273,192,96,64,2761,3681,8476.3818359375,8475.8076171875,-0.57421875,0.0878511443734169,0.0878535881638526,2.443790435791016e-06,0.2236067977500298,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank4_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank4_obj2.png,2.443790435791016e-06,5.4117082703462667e-05,0.0398275410874648,0.0010485320551228,0.0002032833977486,0.0010485320551227,-0.0003965327662152,2.997070802371468,0.1923723858461132,0.0017729039079577,16.87151138873078,0.977566244044376,0.0155611932277679,0.0001362958864774,control,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.1091514494562902,-0.0004637138116359,0,13.285588264465332,0.1398482918739318,0.7766522765159607,0.1833696365356445,0.1705983877182006,-0.3477603495121002,-0.1643907129764557,0.0011775178263633,0.000146795786577,0.0003992754691353,0.0010307220397862,919.0,0.3539325842696629,71886.0,9246.054083347328,2.991089,4.201038,1.2099489999999995,3.828237694919734,0.0163604508805609,0.500889,0.5163314136271319,0.4836685863728681,-0.0018390119177569,-0.0043871655077833,-0.0177590000000003,0.0,0.0,,galvanostatic_6,24,1,0.2622735212274157,0,1.4356315587278615e-06,1.5641645422174546e-07,1.0,0.0,1.4356315587278615e-06,0.0012434623424348,0.0004285938811164,1.0,0.0,2.864937236969792e-06,9.874803020924022e-07,3.532320969673908e-06,2.864937236969792e-06,1.399408288690715e-06,0.0015230106996567,0.7403846153846154,0.9807692307692308,9250.204203328
cycle58_rank1_obj1,58.0,7_c2_x10_290623,3,1,1,4.759075493154626,control_multicycle_roi_candidate,1326.2222222222222,117.88888888888889,1230,22,1422,214,192,96,64,2761,3681,8721.216796875,8718.95703125,-2.259765625,0.0734227523207664,0.0732854008674621,-0.0001373514533042,0.2236067977500298,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank1_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank1_obj1.png,-0.0001373514533042,2.7305927919053448e-05,0.0180118185357598,0.0001497902935889,9.991506396539384e-05,0.0026962252846015,-6.372603080961446e-05,-6.451802622634887,-0.2084865551543176,-0.0019214120923021,17.130788609101,0.9835698918782796,0.0118882227689027,5.518575926544145e-05,control,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,0.7330214581610461,-3.551275259375952e-05,0,9.919602394104004,0.1044168695807457,1.1493642330169678,0.4538221359252929,-0.025086760520935,3.8288307189941406,4.282652854919434,0.0005076756733615,5.8548513379719225e-05,0.000157101557761,0.0004491271599817,919.0,0.3539325842696629,71886.0,9246.054083347328,2.991089,4.201038,1.2099489999999995,3.828237694919734,0.0163604508805609,0.500889,0.5163314136271319,0.4836685863728681,-0.0018390119177569,-0.0043871655077833,-0.0177590000000003,0.0,0.0,,galvanostatic_6,24,1,0.1985435141240661,0,7.392301170326502e-07,1.867781646811997e-07,1.0,0.0,7.392301170326502e-07,-0.0014525026178534,0.0003371231132623,0.0,1.0,-3.346566031534288e-06,7.767316529565011e-07,-3.2963431063291917e-06,3.346566031534288e-06,7.484646633808793e-07,-0.0014390737789507,0.5096153846153847,1.1923076923076923,9250.204203328
cycle58_rank3_obj9,58.0,7_c2_x10_290623,3,3,9,4.475129312169529,control_multicycle_roi_candidate,802.0759493670886,327.746835443038,706,232,898,424,192,96,64,2761,3681,8284.15234375,8284.4931640625,0.3408203125,0.0804646834731102,0.0803442969918251,-0.000120386481285,0.2236067977500298,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank3_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank3_obj9.png,-0.000120386481285,0.0001165961212181,0.0978367583232251,0.0002995805871779,0.0005099111244258,0.005692031156381,-0.0006600992127505,-8.472904103372116,-0.1659274001510011,-0.0015291869197916,16.36139509702319,0.9791810521409502,0.0161124151200056,0.0001394746941514,control,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,0.8161872484866202,0.0002580614020299,0,25.56525230407715,0.2691079080104828,1.8161002397537231,0.0930852890014648,-0.1431903839111328,4.97590970993042,5.068994998931885,0.0020956602420483,0.0001574423124566,0.000403045690291,0.0019382179295917,919.0,0.3539325842696629,71886.0,9246.054083347328,2.991089,4.201038,1.2099489999999995,3.828237694919734,0.0163604508805609,0.500889,0.5163314136271319,0.4836685863728681,-0.0018390119177569,-0.0043871655077833,-0.0177590000000003,0.0,0.0,,galvanostatic_6,24,1,0.6515746258495385,1,3.643750798104462e-06,1.5735644540888428e-06,1.0,0.0,3.643750798104462e-06,-0.0013145713466197,0.000156401432204,0.0,1.0,-3.0287723826118747e-06,3.6034889979823305e-07,-3.0287723826118747e-06,3.0287723826118747e-06,3.615015078697628e-06,-0.0013171555324526,0.5480769230769231,1.3076923076923077,9250.204203328
cycle60_rank3_obj9,60.0,7_c2_x10_290623,5,3,9,6.866497919843912,event_multicycle_roi_candidate,800.7027027027027,321.94594594594594,705,226,897,418,192,96,64,4603,5522,8284.15234375,8284.173828125,0.021484375,0.0795613974332809,0.0796813443303108,0.0001199468970298,0.1802775637732877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank3_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank3_obj9.png,0.0001199468970298,0.0001182765647045,0.1024699546481452,0.0046434991012582,0.0005337170817997,-0.0016476932294787,-0.0006836102533376,-7.833902090168067,-0.425965870602505,-0.0039257014634726,15.86376250219266,0.8693913322247689,0.0359024070203304,0.0001272370427614,event,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,2.4945534720369364,0.0004867846454059,0,22.6298942565918,0.2382094115018844,4.303770542144775,0.7857608795166016,0.9693689346313475,4.090205669403076,4.875966548919678,0.001943252125784,0.0001236483637967,0.000322759653045,0.0018196037619873,920.0,0.3707865168539326,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,-0.0007594505805608,0.007091629170553,0.0040539999999995,0.0,0.0,,galvanostatic_10,25,1,0.6709788530402894,1,3.568669291943789e-06,1.2480025836473546e-06,1.0,0.0,3.568669291943789e-06,-0.0022617440815454,0.0002741426822882,0.0,1.0,-5.211058363880742e-06,6.316247399922204e-07,-6.306719257919786e-06,5.211058363880742e-06,3.551361799206236e-06,-0.0027680986385232,0.6057692307692307,1.4423076923076923,9244.36053955
cycle60_rank1_obj1,60.0,7_c2_x10_290623,5,1,1,6.474067665989688,event_multicycle_roi_candidate,1330.3188405797102,115.18840579710144,1234,19,1426,211,192,96,64,4603,5522,8705.0771484375,8705.095703125,0.0185546875,0.0733746439218521,0.0733707398176193,-3.904104232788086e-06,0.1802775637732877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank1_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank1_obj1.png,-3.904104232788086e-06,2.127206140631101e-05,0.01108483586615,-0.0007489514679449,7.996702967493883e-05,-0.0073397243858597,-0.00013109394101,0.4035541064337167,-0.3000724335871659,-0.0027654675479393,15.730991350190203,0.8846008370102413,0.02809614315629,5.2014180255355313e-05,event,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.990971834925495,0.0002043384224409,0,9.724720001220703,0.1023654714226722,3.890202283859253,0.1629605293273925,0.025762915611267,4.2158284187316895,4.378788948059082,0.0023131534035201,4.967451945958601e-05,0.0001333218240233,0.0022634788840605,920.0,0.3707865168539326,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,-0.0007594505805608,0.007091629170553,0.0040539999999995,0.0,0.0,,galvanostatic_10,25,1,0.2607230206557938,0,6.966665141967669e-07,2.1304704159069707e-07,1.0,0.0,6.966665141967669e-07,-0.0013385195130916,0.0007586499447136,0.0,1.0,-3.083948958163193e-06,1.7479294726201844e-06,-4.058696731345536e-06,3.083948958163193e-06,5.015414355710269e-07,-0.0017819859799909,0.451923076923077,0.7884615384615384,9244.36053955
cycle60_rank2_obj2,60.0,7_c2_x10_290623,5,2,2,5.384766191610338,event_multicycle_roi_candidate,1180.4,1033.6571428571428,1084,938,1276,1130,192,96,64,4603,5522,8229.1943359375,8251.4375,22.2431640625,0.0802203938364982,0.0816128924489021,0.0013924986124038,0.1802775637732877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank2_obj2.png,0.0013924986124038,7.330343219359536e-05,0.0413283967800578,0.0053924505692031,0.0002817827020193,-0.0001497902935889,-0.000244245967733,19.214775918297164,0.2842149893611335,0.0026193253419522,15.955518667969493,0.9042561784481742,0.0285035371780395,0.000115156006359,event,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.3721660201122636,-0.0003672763036167,0,19.44740295410156,0.2047095000743866,2.731466293334961,0.3889734148979187,0.694211483001709,-0.2322756648063659,0.1566977351903915,0.0021632542266161,0.0001112566010306,0.0002971688777506,0.0020519976255855,920.0,0.3707865168539326,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,-0.0007594505805608,0.007091629170553,0.0040539999999995,0.0,0.0,,galvanostatic_10,25,1,0.4668173461814858,0,1.951400872945822e-06,1.4841819472060384e-07,1.0,0.0,1.951400872945822e-06,0.0017612442808818,0.0021524469381784,1.0,0.0,4.057906823151882e-06,4.959237745563133e-06,4.057906823151882e-06,4.057906823151882e-06,1.8606110128577936e-06,0.0017759841891418,0.9134615384615384,0.5576923076923077,9244.36053955
cycle60_rank4_obj5,60.0,7_c2_x10_290623,5,4,5,5.355307596954036,event_multicycle_roi_candidate,568.3137254901961,169.0196078431373,472,73,664,265,192,96,64,4603,5522,8475.23828125,8471.3681640625,-3.8701171875,0.0895092040300369,0.0892198979854583,-0.0002893060445785,0.1802775637732877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank4_obj5.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank4_obj5.png,-0.0002893060445785,3.699795001837985e-05,0.0175961270502507,-0.0017974835230676,0.0001095615863066,-0.0062911923307369,-0.0003188530562706,3.3710196741781147,0.0544976489379106,0.0005022503326117,15.447172123130876,0.8437913552152481,0.036756869405508,0.0001335912966169,event,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.5337954930279185,-0.000649790520133,0,14.73573112487793,0.1551129519939422,4.038924217224121,0.6281644105911255,0.3593976497650146,-1.7439497709274292,-1.1157853603363037,0.0028950763007742,0.0001316549019065,0.0003613668077377,0.0027634213988677,920.0,0.3707865168539326,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,-0.0007594505805608,0.007091629170553,0.0040539999999995,0.0,0.0,,galvanostatic_10,25,1,0.3116648574581109,0,9.666890543532338e-07,3.335022308180891e-07,1.0,0.0,9.666890543532338e-07,0.0005330349685013,0.0001347708665397,1.0,0.0,1.2281125674270095e-06,3.1051207650752944e-07,1.0160291174348963e-06,1.2281125674270095e-06,7.020321278426798e-07,0.0004222588279604,0.4903846153846154,1.0192307692307692,9244.36053955
cycle60_rank6_obj26,60.0,7_c2_x10_290623,5,6,26,4.590869322464719,event_multicycle_roi_candidate,1231.8333333333333,843.4166666666666,1136,747,1328,939,192,96,64,4603,5522,8068.765625,8065.12158203125,-3.64404296875,0.1190228834748268,0.1186382621526718,-0.0003846213221549,0.1802775637732877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank6_obj26.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank6_obj26.png,-0.0003846213221549,5.205502501610517e-05,0.0182933050011689,-0.0040443379269023,0.0002236155097149,-0.0035949670461354,-0.000101434228344,-14.016237630798171,-0.1088909221313024,-0.001003538738362,13.387233487776983,0.8344266769197118,0.0480674803256988,0.0002903675485868,event,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.320031653911962,-0.0002687203200089,0,16.147092819213867,0.1699693948030471,2.149290084838867,0.7461602687835693,0.1955482959747314,-2.5114729404449463,-1.765312671661377,0.0027637045786832,0.0002904538964685,0.0007888973632361,0.0024732506822147,920.0,0.3707865168539326,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,-0.0007594505805608,0.007091629170553,0.0040539999999995,0.0,0.0,,galvanostatic_10,25,1,0.2650691517727483,0,1.2396569815839683e-06,2.1653469652156735e-07,1.0,0.0,1.2396569815839683e-06,-0.0008004855703044,0.0008432626199913,0.2857142857142857,0.7142857142857143,-1.8443187539815653e-06,1.942877076460012e-06,-1.8443187539815653e-06,1.8443187539815653e-06,1.2740794518799388e-06,-0.0008918578893709,0.625,0.0480769230769231,9244.36053955
cycle60_rank5_obj18,60.0,7_c2_x10_290623,5,5,18,4.517043565680912,event_multicycle_roi_candidate,1661.5873015873017,130.34920634920636,1566,34,1758,226,192,96,64,4603,5522,8054.798828125,8057.9775390625,3.1787109375,0.0759721472859382,0.0761133432388305,0.0001411959528923,0.1802775637732877,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank5_obj18.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank5_obj18.png,0.0001411959528923,3.017624209024324e-05,0.0099578824310225,-0.0101857399640503,-9.434250840032856e-05,-0.005692031156381,-3.519454631648019e-05,-8.489149474945293,-0.2579928536279335,-0.002377662139035,13.765045789812342,0.8976052660202927,0.0301033649593591,5.8613291912479326e-05,event,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,1.236404564188312,7.914396233751553e-05,0,12.238980293273926,0.1288313716650009,1.6123532056808472,0.2518925666809082,-0.1363824158906936,-4.740033149719238,-4.48814058303833,0.0023813786810933,5.507545063210273e-05,0.0001429853430181,0.0023263032304611,920.0,0.3707865168539326,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,-0.0007594505805608,0.007091629170553,0.0040539999999995,0.0,0.0,,galvanostatic_10,25,1,0.23798785109595,0,-2.105334965264085e-07,4.038254345248848e-07,0.2857142857142857,0.7142857142857143,2.105334965264085e-07,-0.0016326800704772,0.0013092510725601,0.0,1.0,-3.7616948823796086e-06,3.016514471178483e-06,-3.7616948823796086e-06,3.7616948823796086e-06,-6.848528770514628e-07,-0.0016495093976811,-0.2884615384615384,0.6923076923076923,9244.36053955
cycle62_rank2_obj2,62.0,7_c2_x10_290623,7,2,2,6.583976584591412,control_multicycle_roi_candidate,1324.629213483146,108.42696629213484,1229,12,1421,204,192,96,64,6444,7363,8705.89453125,8694.2001953125,-11.6943359375,0.0735113322734832,0.0728650391101837,-0.0006462931632995,0.2500000000000909,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle62_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank2_obj2.png,-0.0006462931632995,1.7623845726634023e-05,0.0070385050390461,0.005542240862792,6.123981371135554e-05,0.0094367884961054,-0.0001198802445806,-37.920571990988265,-0.2276221427037815,-0.002097765667158,15.731490349953996,0.8895254399924661,0.0284430235624313,4.3771615310106426e-05,control,60.0,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc,2.079343177314194,0.0004230040251199,0,8.230844497680664,0.0866404697299003,3.336265087127685,0.5350139141082764,-0.1732424199581146,3.966236352920532,4.501250267028809,0.0005930880311098,4.02554512675124e-05,0.0001108207025026,0.0005528325798422,917.0,0.3370786516853932,47050.0,9223.984920978546,2.991282,4.201617,1.2103349999999995,3.8226030426780016,0.002895681360255,0.500889,0.5028905419766206,0.4971094580233793,-0.0016802584135811,-0.014928355800842,-0.0034739999999997,0.0,0.0,,galvanostatic_14,26,1,0.2822332251649609,0,4.436700328915792e-07,6.220581599984332e-07,0.7142857142857143,0.2857142857142857,4.436700328915792e-07,-0.0015028775870067,0.0012494597195847,0.0,1.0,-3.462629960463573e-06,2.878755193923345e-06,-3.462629960463573e-06,3.462629960463573e-06,3.811122055502721e-07,-0.0015173259378212,-0.4038461538461538,0.6923076923076923,9242.521957436
